Title,Issue,MHC Grade,MHC Price,CGC Grade,Page Quality,Note,Year,Publisher
Jimmy Wakely ,13,FN ,,6,OW-W , ,1951,D.C. Comics
Jimmy Wakely ,15,FN ,,6.5,W , ,1952,D.C. Comics
Jimmy Wakely ,17,FN ,,7.5,OW , ,1952,D.C. Comics
Joe Palooka Comics ,20,NM+ ,,9.4,OW-W , ,1948,Harvey Publications
Joe Palooka Comics ,22,NM+ ,,9.2,OW-W , ,1948,Harvey Publications
Joe Palooka Comics ,23,NM+ ,,9.8,W , ,1948,Harvey Publications
Joe Palooka Comics ,24,NM+ ,,9.4,OW-W , ,1948,Harvey Publications
Joe Palooka Comics ,25,NM+ ,,9.8,OW-W , ,1948,Harvey Publications
Jo-Jo Comics ,0,NL ,,8, ,#nn Slight (A) ,1945,Fox
Joker Comics ,2,NL ,,8,W , ,1942,Timely
Joker Comics ,5,NL ,,8.5,OW-W , ,1942,Timely
Joker Comics ,6,NM ,,9.6,OW-W ,Old grade VF/NM9.0 ,1943,Timely
Joker Comics ,9,VG ,,6,W , ,1943,Timely
Joker Comics ,10,NM+ ,,9.4,W , ,1943,Timely
Joker Comics ,11,NM ,,9.6,OW-W ,Old grade NM- 9.2 ,1943,Timely
Joker Comics ,12,NM ,,7,W , ,1943,Timely
Joker Comics ,13,NM ,,8.5,W , ,1943,Timely
Joker Comics ,14,NM+ ,,9,OW , ,1944,Timely
Joker Comics ,15,NM ,,9.4,OW-W , ,1944,Timely
Joker Comics ,16,NM ,,9,OW-W ,Qualified- 3 extra staples added  ,1944,Timely
Joker Comics ,18,NM+ ,,9.4,OW , ,1945,Timely
Joker Comics ,19,NM ,,9.6,W ,Old grade VF+ 8.5  ,1947,Timely
Joker Comics ,20,NM+ ,,9.6,W , ,1945,Timely
Joker Comics ,21,NM+ ,,9.6,OW-W , ,1946,Timely
Joker Comics ,22,NM ,,9,OW-W , ,1946,Timely
Joker Comics ,23,NM+ ,,9.8,OW-W , ,1946,Timely
Joker Comics ,24,NM+ ,,9.6,W , ,1946,Timely
Joker Comics ,25,NM+ ,,9.4,OW-W , ,1946,Timely
Joker Comics ,26,NM+ ,,9.2,OW , ,1947,Timely
Joker Comics ,27,NM ,,9.4,OW-W , ,1947,Timely
Joker Comics ,28,NM+ ,,9.6,OW-W , ,1947,Timely
Joker Comics ,29,NM ,,9.4,OW-W , ,1947,Timely
Joker Comics ,30,NM ,,8,OW , ,1947,Timely
Joker Comics ,31,NM ,,9.6,OW , ,1948,Timely
Jumbo Comics ,16,NL ,,9.6, , , ,Fiction House
Jumbo Comics ,17,NL ,,9.2, , , ,Fiction House
Jumbo Comics ,19,NL ,,9.6,OW , ,1940,Fiction House
Jumbo Comics ,20,NL ,,9.4, , , ,Fiction House
Jumbo Comics ,154,NM+ ,,9.2,OW-W , , ,Fiction House
Jungle Comics ,108,NL ,,8.5,OW , ,1948,Fiction House
Jungle Tales ,5,NM+ ,,9.4,W , ,1955,Atlas
Junior ,16,NL ,,9.2,OW-W , ,1948,Fox
Junior Miss ,26,NM ,,9.2,W , ,1947,Timely
Junior Miss ,27,NM ,,9.6,W ,Old grade VF+8.5 OW-W  ,1947,Timely
Keen Detective Funnies ,8,NM ,,9,W , ,1938,Centaur
Keen Detective Funnies ,20,NL ,,6.5,W , ,1940,Centaur
Keen Detective Funnies Vol.2 ,6,FN ,,6.5,W , ,1939,Centaur
Keen Detective Funnies Vol.2 ,7,VG ,,7,W , ,1939,Centaur
Keen Detective Funnies Vol.2 ,8,FN ,,9,W , ,1939,Centaur
Keen Detective Funnies Vol.2 ,9,VG ,,6.5,W , ,1939,Centaur
Keen Detective Funnies Vol.2 ,11,NM ,,8.5,W , ,1939,Centaur
Keen Detective Funnies Vol.2 ,12,FN ,,6,OW-W , ,1939,Centaur
Kid Colt Outlaw ,7,NM ,,7,OW-W , ,1949,Marvel Comics
Kid Colt Outlaw ,9,NM ,,9,OW-W , ,1950,Marvel Comics
Kid Colt Outlaw ,10,NM ,,8,CR-OW , ,1950,Marvel Comics
Kid Eternity ,1,NL ,,9.4,W , ,1946,Quality Comics
Kid Eternity ,6,NM ,,9.6,OW-W , ,1947,Quality Comics
King Comics ,15,FN ,,4.5,CR-OW , ,1937,David McKay Publishing
King Comics ,20,FN ,,5.5,OW-W , ,1937,David McKay Publishing
King Comics ,21,NM ,,8.5,OW-W , ,1937,David McKay Publishing
King Comics ,23,NM ,,9.2,OW , ,1938,David McKay Publishing
King Comics ,24,NM ,,7.5,W ,Old grade VF 8.0 ,1938,David McKay Publishing
King Comics ,32,M+ ,,9,OW ,Old grade NM- 9.2 ,1938,David McKay Publishing
King Comics ,33,NL ,,6,OW , ,1938,David McKay Publishing
King Comics ,35,NM ,,9.6,W , ,1939,David McKay Publishing
King Comics ,40,FN ,,7,OW-W , ,1939,David McKay Publishing
Krazy Comics ,8,NM+ ,,8.5,W , ,1943,Timely
Krazy Comics ,13,NM+ ,,9.2,OW , ,1944,Timely
Lance O'Casey ,2,NM+ ,,9.6,OW , ,1946,Fawcett
Lance O'Casey ,3,NM+ ,,9.6,W ,Old grade NM 9.4 ow-w ,1946,Fawcett
Lance O'Casey ,4,NM+ ,,9.8,OW , ,1948,Fawcett
Large Feature Comic ,11,NL ,,9.4, ,Graded by Heritage not CGC ,1939,Dell
Large Feature Comic ,13,NL ,,8, ,Graded by Heritage not CGC ,1940,Dell
Large Feature Comic ,15,NL ,,9, ,Graded by Heritage not CGC ,1941,Dell
Large Feature Comic Vol.2 ,3,NL ,,6.5, ,Graded by Heritage not CGC ,1941,Dell
Lash Larue Western ,4,NM+ ,,9.2,W , ,1950,Fawcett
Lash Larue Western ,5,NM+ ,,9.4,W , ,1950,Fawcett
Lash Larue Western ,8,FN ,,7.5,W , ,1950,Fawcett
Leading Comics ,1,NM ,,9.4,W , ,1941,D.C. Comics
Leading Comics ,4,NM ,,9.2,OW-W , ,1942,D.C. Comics
Leading Comics ,6,NM+ ,,9,W , ,1943,D.C. Comics
Leading Comics ,7,NM+ ,,9.6,W , ,1943,D.C. Comics
Leading Comics ,9,NM ,,8.5,W , ,1943,D.C. Comics
Leading Comics ,11,NM+ ,,9.4,OW-W , ,1944,D.C. Comics
Leading Comics ,14,NM ,,5.5,W , ,1945,D.C. Comics
Leave it to Binky ,1,NM+ ,,7.5,OW-W , ,1948,D.C. Comics
Leave it to Binky ,7,NM+ ,,9.8,OW-W ,Slight mis-cut ,1949,D.C. Comics
Leave it to Binky ,9,NM ,,6.5,OW-W , ,1949,D.C. Comics
Leave it to Binky ,13,NM+ ,,9.4,W , ,1950,D.C. Comics
Leave it to Binky ,14,NM ,,9.2,OW-W , ,1950,D.C. Comics
Liberty Scouts Comics ,3,NM ,,8,W , ,1941,Centaur
Lightning Comics ,5,FN ,,7,OW-W , ,1941,Ace Periodicals
Li'l Abner ,61,NL ,,9,OW-W , ,1947,Harvey Publications
Li'l Abner ,63,NL ,,9.6,OW-W , ,1948,Harvey Publications
Li'l Abner ,64,NM+ ,,9.2,OW-W , ,1948,Harvey Publications
Li'l Abner ,67,NL ,,9.4,W , ,1948,Harvey Publications
Love Confessions ,2,NM ,,8,CR-OW , ,1949,Quality Comics
Love Letters ,1,NM+ ,,9.6,OW , ,1949,Quality Comics
Love Letters ,2,NM ,,7.5,OW , ,1950,Quality Comics
Love Mystery ,2,NM ,,7.5,OW-W , ,1950,Fawcett
Mad ,1,VG ,,,W ,GD/VG 3.0 ,1952,EC
Mad ,3,FN ,,4.5,OW , ,1953,EC
Mad Hatter ,1,NM ,,9,W , ,1946,O.W. Comics
Mad Hatter ,2,NM ,,9.2,OW-W , ,1946,O.W. Comics
Magic Comics ,1,FN ,,6,OW-W ,&quot;'Reader's Guild' flier attached to 1st page with tiny amount of glue ,1939,David McKay Publishing
Magic Comics ,3,FN ,,5.5,OW-W , ,1939,David McKay Publishing
Magic Comics ,10,NM ,,9,OW-W , ,1940,David McKay Publishing
Magic Comics ,12,NM ,,7,OW-W ,&quot;Reader's Guild&quot; flyer glued on 1st page ,1940,David McKay Publishing
Magic Comics ,14,FN ,,6.5,W , ,1940,David McKay Publishing
Magic Comics ,40,NM+ ,,9,W , ,1942,David McKay Publishing
Magic Comics ,41,NM ,,9,W , ,1942,David McKay Publishing
Magic Comics ,42,NM ,,9.2,W , ,1943,David McKay Publishing
Major Hoople Comics ,1,NM+ ,,9.4,OW-W , ,1943,Nedor Publications
Manhunt ,1,NM ,,8.5,OW-W , ,1947,Magazine Enterprises
Manhunt ,5,FN ,,8.5,OW-W , ,1948,Magazine Enterprises
March of Crime ,7,NL ,,8,W ,First issue of title ,1950,Fiction House
Marvel Mystery Comics ,62,NM ,,8.5,OW-W , ,1945,Timely
Marvel Mystery Comics ,89,NM+ ,,8.5,W , ,1948,Timely
Mary Marvel Comics ,2,NM+ ,,9.6,OW-W ,Old grade VF+8.5 White ,1946,Fawcett
Mary Marvel Comics ,3,NM+ ,,9.6,OW ,Old grade NM 9.4 White ,1946,Fawcett
Mary Marvel Comics ,19,FN ,,7, , , ,Fawcett
Mask Comics ,1,NM+ ,,9.4,OW-W ,Slight (A) Small amount of color touch on cover ,1945,Rural Home
Master Comics ,28,NM+ ,,9.2,OW-W , ,1942,Fawcett
Master Comics ,31,NM+ ,,9.4,W , ,1942,Fawcett
Master Comics ,34,NM+ ,,9.6,W , ,1942,Fawcett
Master Comics ,35,NM+ ,,9.6,W , ,1943,Fawcett
Master Comics ,37,FN ,,9.2,OW-W , ,1943,Fawcett
Master Comics ,39,FN ,,9,W , ,1943,Fawcett
Master Comics ,42,NM+ ,,9.8,OW-W , ,1943,Fawcett
Master Comics ,45,NM+ ,,9.2,OW-W , , ,Fawcett
Master Comics ,48,NM+ ,,9.6, , , ,Fawcett
Master Comics ,55,NM+ ,,9.4,OW-W , ,1944,Fawcett
Master Comics ,68,NM+ ,,9.4,W , , ,Fawcett
Master Comics ,69,NM+ ,,9.8,W , ,1946,Fawcett
Master Comics ,75,NM+ ,,9.4,OW-W , , ,Fawcett
Master Comics ,76,NM ,,9.4,OW , ,1947,Fawcett
Master Comics ,78,NM+ ,,9.6,W , ,1947,Fawcett
Master Comics ,82,NM+ ,,9.6,W , ,1947,Fawcett
Master Comics ,83,NM+ ,,9.6,W , ,1947,Fawcett
Master Comics ,84,NM+ ,,9.2,W , ,1947,Fawcett
Master Comics ,95,NM ,,9.2,OW-W , ,1948,Fawcett
Master Comics ,96,NM ,,9.2,OW-W , , ,Fawcett
Master Comics ,101,Missing? ,,9.6,W , ,1949,Fawcett
Master Comics ,109,Missing? ,,9.2,OW , ,1949,Fawcett
Master Comics ,115,Missing? ,,7,OW-W , ,1951,Fawcett
Master Comics ,117,Missing? ,,7.5,OW-W , ,1951,Fawcett
Master Comics ,123,Missing? ,,7,W , ,1951,Fawcett
Mighty Mouse Comics ,1,Missing? ,,9.4,OW-W , ,1946,Timely
Military Comics ,1,Missing? ,,9.4,W , ,1941,Quality Comics
Military Comics ,2,Missing? ,,9,W , ,1941,Quality Comics
Military Comics ,3,Missing? ,,9.8,W ,Old grade NM- 9.2  ,1941,Quality Comics
Military Comics ,4,Missing? ,,9.4,W ,Old grade NM- 9.2 ,1941,Quality Comics
Military Comics ,5,Missing? ,,9,W , ,1941,Quality Comics
Military Comics ,6,Missing? ,,9.6,W , ,1942,Quality Comics
Military Comics ,8,Missing? ,,9.4,OW , ,1942,Quality Comics
Military Comics ,9,Missing? ,,9.4,OW-W ,Old grade NM- 9.2  ,1942,Quality Comics
Military Comics ,10,Missing? ,,9.6,W , ,1942,Quality Comics
Military Comics ,11,Missing? ,,9.6,OW , ,1942,Quality Comics
Military Comics ,12,Missing? ,,9.4,OW-W , ,1942,Quality Comics
Military Comics ,13,Missing? ,,9.4,OW-W , ,1942,Quality Comics
Military Comics ,14,Missing? ,,9.4,W , , ,Quality Comics
Military Comics ,16,Missing? ,,9.4,W ,Old grade NM- 9.2  ,1943,Quality Comics
Military Comics ,17,Missing? ,,9.4,W , ,1943,Quality Comics
Military Comics ,18,Missing? ,,9.4,OW-W , ,1943,Quality Comics
Military Comics ,19,Missing? ,,9.6,W , ,1943,Quality Comics
Military Comics ,20,Missing? ,,9.2,W , ,1943,Quality Comics
Military Comics ,22,Missing? ,,9,OW , ,1943,Quality Comics
Military Comics ,27,Missing? ,,9,OW-W , ,1944,Quality Comics
Military Comics ,36,Missing? ,,8.5,OW-W ,Old grade VF8.0  ,1945,Quality Comics
Military Comics ,38,Missing? ,,9.4,OW-W ,Old grade VF+8.5 Very minor amount of glue on cover ,1945,Quality Comics
Military Comics ,40,Missing? ,,8.5,OW-W , ,1945,Quality Comics
Millie the Model ,6,Missing? ,,9,OW-W , ,1947,Marvel Comics
Millie the Model ,8,Missing? ,,9.4,OW-W , ,1947,Marvel Comics
Minute Man ,1,Missing? ,,9.6,OW ,Old grade 9.2 NM- ,1941,Fawcett
Minute Man ,2,Missing? ,,9.4,OW-W ,Old grade 8.5 VF+ ,1941,Fawcett
Miss Beverly Hills of Hollywood ,2,Missing?  ,,9.2,OW-W ,Not CGC graded - graded by Heritage ,1949,D.C. Comics
Miss Beverly Hills of Hollywood ,4,Missing? ,,9.2,OW ,Not CGC graded - graded by Heritage ,1949,D.C. Comics
Miss Beverly Hills of Hollywood ,5,Missing? ,,9,W ,Old grade VF+ 8.5 OW-W ,1949,D.C. Comics
Mopsy ,1,NM+ ,,9,OW-W , ,1948,St. John Publications
Mopsy ,10,NM+ ,,9,OW-W , ,1950,St. John Publications
More Fun Comics ,14,FN ,,6.5,OW-W , ,1936,D.C. Comics
More Fun Comics ,16,FN ,,8.5,W , ,1936,D.C. Comics
More Fun Comics ,18,FN ,,8,W , ,1937,D.C. Comics
More Fun Comics ,19,FN ,,8,W , ,1937,D.C. Comics
More Fun Comics ,24,FN ,,8.5,OW-W , ,1937,D.C. Comics
More Fun Comics ,28,NM ,,9.4,OW ,Old grade NM- 9.2 ,1938,D.C. Comics
More Fun Comics ,29,NM+ ,,9.4,OW , ,1938,D.C. Comics
More Fun Comics ,30,NM+ ,,9.4,OW ,Slight (A) ,1938,D.C. Comics
More Fun Comics ,31,NM+ ,,9.6,OW-W ,6 siamese pages ,1938,D.C. Comics
More Fun Comics ,33,NL ,,9.4,OW-W , ,1938,D.C. Comics
More Fun Comics ,34,NM+ ,,9.4,OW-W , ,1938,D.C. Comics
More Fun Comics ,36,NM+ ,,9.6,OW-W ,Very minor amount of CT on cover Old grade 9.8 NM/MT Slight (P) ,1938,D.C. Comics
More Fun Comics ,37,NL ,,9.4,OW-W , ,1938,D.C. Comics
More Fun Comics ,38,NM+ ,,9.4,OW-W , ,1938,D.C. Comics
More Fun Comics ,39,NM+ ,,9.6,OW-W , ,1939,D.C. Comics
More Fun Comics ,39,NL ,,9.2,OW-W ,Double copy  ,1939,D.C. Comics
More Fun Comics ,40,NM+ ,,9.4,OW-W , ,1939,D.C. Comics
More Fun Comics ,43,NL ,,9.2,OW ,Slight (P) ,1939,D.C. Comics
More Fun Comics ,44,NL ,,9.4,OW-W , ,1939,D.C. Comics
More Fun Comics ,46,NL ,,9.6,W , ,1939,D.C. Comics
More Fun Comics ,47,NL ,,9.2,W ,&quot;D&quot; erased from cover ,1939,D.C. Comics
More Fun Comics ,48,NL ,,9,OW-W , ,1939,D.C. Comics
More Fun Comics ,49,NL ,,9.4,W , ,1939,D.C. Comics
More Fun Comics ,50,NL ,,9.4,OW-W , ,1939,D.C. Comics
More Fun Comics ,51,NM+ ,,9,W ,Last two pages are siamese ,1940,D.C. Comics
More Fun Comics ,52,NM+ ,,9.2,W ,Very minor glue. Very minor color touch. ,1940,D.C. Comics
More Fun Comics ,53,NM+ ,,9.6,W , ,1940,D.C. Comics
More Fun Comics ,58,NM+ ,,9.4,OW-W , ,1940,D.C. Comics
More Fun Comics ,59,NL ,,9.4,OW-W , ,1940,D.C. Comics
More Fun Comics ,62,NM+ ,,9.6,OW-W , ,1940,D.C. Comics
More Fun Comics ,64,NL ,,9.6,W , ,1941,D.C. Comics
More Fun Comics ,65,NM ,,9.4,W , ,1941,D.C. Comics
More Fun Comics ,68,NL ,,9.2,OW-W , ,1941,D.C. Comics
More Fun Comics ,70,NM ,,9.6,W , ,1941,D.C. Comics
More Fun Comics ,73,NM+ ,,9.4,W , ,1941,D.C. Comics
More Fun Comics ,74,NM ,,9.6,W , ,1941,D.C. Comics
More Fun Comics ,77,NM+ ,,9.2,OW-W , ,1942,D.C. Comics
More Fun Comics ,78,NL ,,9.6,W , ,1942,D.C. Comics
More Fun Comics ,79,NM+ ,,9.6,OW-W , ,1942,D.C. Comics
More Fun Comics ,80,NM+ ,,9.4,W , ,1942,D.C. Comics
More Fun Comics ,81,NM ,,8.5,W , ,1942,D.C. Comics
More Fun Comics ,82,NL ,,9.6,W , ,1942,D.C. Comics
More Fun Comics ,84,NM ,,9.6,W , ,1942,D.C. Comics
More Fun Comics ,85,FN ,,8,W , ,1942,D.C. Comics
More Fun Comics ,87,NM ,,9.2,OW-W , ,1943,D.C. Comics
More Fun Comics ,90,NM+ ,,9.4,W , ,1943,D.C. Comics
More Fun Comics ,91,NM ,,9.6,OW-W ,One dot of glue on spine  ,1943,D.C. Comics
More Fun Comics ,92,NM+ ,,9.4,W , ,1943,D.C. Comics
More Fun Comics ,93,NL ,,9.6,OW-W , ,1943,D.C. Comics
More Fun Comics ,94,NM+ ,,9.4,OW-W , ,1943,D.C. Comics
More Fun Comics ,95,NM+ ,,9,W , ,1944,D.C. Comics
More Fun Comics ,96,NL ,,9.4,OW-W , ,1944,D.C. Comics
More Fun Comics ,97,NM+ ,,9.6,OW-W , ,1944,D.C. Comics
More Fun Comics ,98,NL ,,9.4,W , ,1944,D.C. Comics
More Fun Comics ,99,NL ,,9.4,OW-W , ,1944,D.C. Comics
More Fun Comics ,100,NM+ ,,9.4,OW-W , ,1944,D.C. Comics
More Fun Comics ,106,NM+ ,,9.2,OW-W , ,1945,D.C. Comics
More Fun Comics ,107,NL ,,9.4,W , ,1945,D.C. Comics
More Fun Comics ,108,NL ,,8,OW , ,1946,D.C. Comics
More Fun Comics ,109,NL ,,9.6,OW-W , ,1946,D.C. Comics
More Fun Comics ,111,VG ,,9.2,CR-OW , ,1946,D.C. Comics
More Fun Comics ,116,NL ,,9.6,OW-W , ,1946,D.C. Comics
More Fun Comics ,118,NL ,,9.6,OW-W ,Old grade NM 9.4 ,1947,D.C. Comics
More Fun Comics ,119,NL ,,9.8,W , ,1947,D.C. Comics
More Fun Comics ,120,NL ,,9.6,OW-W ,Double cover - outside cover NM9.4 ,1947,D.C. Comics
More Fun Comics ,121,NM+ ,,9.8,W , ,1947,D.C. Comics
More Fun Comics ,122,NL ,,9.6,W , ,1947,D.C. Comics
More Fun Comics ,125,NM+ ,,9,OW-W , ,1947,D.C. Comics
More Fun Comics ,127,FN ,,9.6,OW-W , ,1947,D.C. Comics
Motion Picture Comics ,106,FN ,,4,OW , ,1951,Fawcett
Mr. District Attorney ,7,Missing? ,,8,OW-W , ,1949,D.C. Comics
Murder Incorporated ,4,NL ,,8.5,OW-W , ,1948,Fox
My Story ,5,NM+ ,,9.2,W , ,1949,Fox
Namora ,3,NL ,,9.2,W , ,1948,Timely
National Comics ,1,NM+ ,,7.5,W , ,1940,Quality Comics
National Comics ,2,NM+ ,,9.6,W , ,1940,Quality Comics
National Comics ,3,NM+ ,,9.4,W , ,1940,Quality Comics
National Comics ,4,NM+ ,,9.6,W , ,1940,Quality Comics
National Comics ,5,NM+ ,,9.6,W , ,1940,Quality Comics
National Comics ,6,NM ,,9.4,OW-W , ,1940,Quality Comics
National Comics ,7,NM+ ,,9.6,W , ,1941,Quality Comics
National Comics ,8,NM ,,9,OW-W , ,1941,Quality Comics
National Comics ,9,NM ,,9.4,W , ,1941,Quality Comics
National Comics ,10,NM+ ,,9,W , ,1941,Quality Comics
National Comics ,11,NM+ ,,9.6,W , ,1941,Quality Comics
National Comics ,12,NM ,,9,W , ,1941,Quality Comics
National Comics ,13,NM ,,9.4,W , ,1941,Quality Comics
National Comics ,14,NM+ ,,9,W , ,1941,Quality Comics
National Comics ,15,NM+ ,,9.8,W , ,1941,Quality Comics
National Comics ,16,NM ,,9.6,W , ,1941,Quality Comics
National Comics ,17,NM ,,9.6,W , ,1941,Quality Comics
National Comics ,18,NM+ ,,9.6,W , ,1941,Quality Comics
National Comics ,19,NM ,,9.4,W , ,1941,Quality Comics
National Comics ,20,NM+ ,,9.8,W , ,1941,Quality Comics
National Comics ,21,NM+ ,,9.6,W , ,1941,Quality Comics
National Comics ,22,NM+ ,,9.6,W , ,1941,Quality Comics
National Comics ,23,NM+ ,,9.6,W , ,1941,Quality Comics
New Adventure Comics ,14,NL ,,7,OW-W , ,1937,D.C. Comics
New Adventure Comics ,18,NL ,,9,OW-W , ,1937,D.C. Comics
New Adventure Comics ,19,NL ,,9.6,OW-W ,Old grade NM- 9.2 OW ,1937,D.C. Comics
New Adventure Comics ,20,NL ,,9.6,OW-W , ,1937,D.C. Comics
New Adventure Comics ,21,NL ,,9.4,W , ,1937,D.C. Comics
New Adventure Comics ,29,NL ,,9.6,OW-W , ,1938,D.C. Comics
New Adventure Comics ,30,NL ,,9.6,OW-W , ,1938,D.C. Comics
New Adventure Comics ,31,NL ,,9.6,OW-W , ,1938,D.C. Comics
New Book of Comics ,2,FN ,,9,OW-W , ,1938,D.C. Comics
New Funnies ,67,NL ,,9.6,W , ,1942,Dell
Nickel Comics ,1,NL ,,9.4,OW-W , ,1940,Fawcett
Nickel Comics ,2,NL ,,9,W , ,1940,Fawcett
Northwest Mounties ,1,NL ,,6.5,W , ,1948,St. John Publications
Northwest Mounties ,2,NM+ ,,9,OW-W , ,1949,St. John Publications
Nyoka the Jungle Girl ,15,NM ,,8.5,W , ,1948,Fawcett
Nyoka the Jungle Girl ,17,FN ,,7.5, , , ,Fawcett
Nyoka the Jungle Girl ,35,FN ,,7.5, , , ,Fawcett
Oscar Comics ,3,NM+ ,,9.2,OW-W , ,1947,Timely
Our Flag Comics ,1,NM ,,9.4,OW-W ,Old grade NM- 9.2 ,1941,Ace Periodicals
Our Flag Comics ,2,NM+ ,,9,W , ,1941,Ace Periodicals
Our Flag Comics ,3,NM ,,9,OW-W , ,1941,Ace Periodicals
Patsy Walker ,19,NM+ ,,9,OW-W , ,1948,Atlas
Pay-Off ,3,NM+ ,,8,OW-W , ,1949,D.S. Publishing
Pay-Off ,4,NM+ ,,9.2,W , ,1949,D.S. Publishing
Pay-Off ,5,NM ,,8,OW , ,1949,D.S. Publishing
Pep ,55,NM+ ,,9,W , ,1945,MLJ
Pep ,61,NM+ ,,9.6,W , ,1947,MLJ
Pep ,72,NM+ ,,9.2, ,graded by metropolis.com not CGC , ,MLJ
Pep ,76,NL ,,9.2, ,graded by metropolis.com not CGC , ,MLJ
Perfect Crime ,9,NM+ ,,9.4,W , ,1951,Cross Publications
Perfect Crime ,10,NM ,,7.5,W , ,1951,Cross Publications
Phantom Lady ,16,NL ,,9.4,OW , ,1948,Fox
Picture News ,1,NL ,,9.2,OW-W , ,1946,Lafayette Street Corp.
Picture News ,2,NM+ ,,9.2,OW , ,1946,Lafayette Street Corp.
Picture News ,3,NM+ ,,9.2,OW-W , ,1946,Lafayette Street Corp.
Picture News ,4,NM+ ,,9.8,OW-W , ,1946,Lafayette Street Corp.
Picture News ,5,NM+ ,,9.2,OW-W , ,1946,Lafayette Street Corp.
Picture News ,6,NM+ ,,9.6,OW-W , ,1946,Lafayette Street Corp.
Picture News ,7,NM+ ,,9,W , ,1946,Lafayette Street Corp.
Picture News ,8,NM ,,8,W , ,1946,Lafayette Street Corp.
Pioneer Picture Stories ,8,NM+ ,,9.2,W , ,1943,Street and Smith
Plastic Man ,2,NM+ ,,9.6,OW ,Old grade NM- 9.2 ,1944,Quality Comics
Plastic Man ,3,NM+ ,,9.4,W , ,1946,Quality Comics
Plastic Man ,4,NL ,,9.4,OW-W , ,1946,Quality Comics
Plastic Man ,6,FN ,,5,OW-W , ,1946,Quality Comics
Plastic Man ,7,NM+ ,,8.5,W , ,1947,Quality Comics
Plastic Man ,9,NM+ ,,9.6,OW ,Old grade NM9.4 ,1947,Quality Comics
Plastic Man ,13,NM+ ,,9.4,OW-W , ,1948,Quality Comics
Plastic Man ,15,NM+ ,,9.6,W , ,1949,Quality Comics
Plastic Man ,16,NL ,,9.6,OW-W ,Old grade VF+ 8.5 ,1949,Quality Comics
Plastic Man ,17,NM+ ,,9.6,OW ,Old grade VF+ 8.5 OW-W ,1949,Quality Comics
Plastic Man ,18,NM+ ,,9.6,OW-W , ,1949,Quality Comics
Plastic Man ,20,NM+ ,,9.4,OW-W , ,1949,Quality Comics
Plastic Man ,22,NM ,,9.6,OW-W , ,1950,Quality Comics
Plastic Man ,26,NM+ ,,9.4,OW-W , ,1950,Quality Comics
Plastic Man ,28,NL ,,9,OW , , ,Quality Comics
Plastic Man ,31,FN ,,7,OW-W , ,1951,Quality Comics
Plastic Man ,34,NL ,,8.5,W , ,1952,Quality Comics
Pocket Comics ,3,NL ,,8.5,OW-W ,Digest size ,1941,Harvey Publications
Pocket Comics ,4,NL ,,8.5,OW-W ,Digest size ,1942,Harvey Publications
Police Comics ,21,NL ,,9.4,OW-W , ,1943,Quality Comics
Police Comics ,30,NL ,,9.6,OW-W ,Old grade NM9.4 ,1944,Quality Comics
Police Comics ,31,NL ,,7,W , , ,Quality Comics
Police Comics ,35,NL ,,9.2,W , ,1944,Quality Comics
Police Comics ,38,NL ,,9,OW-W , ,1944,Quality Comics
Police Comics ,39,NL ,,9.8,W , ,1945,Quality Comics
Police Comics ,41,NL ,,9.6,OW-W , ,1945,Quality Comics
Police Comics ,54,NL ,,9.6,W ,Old grade NM-9.2 OW-W ,1946,Quality Comics
Police Comics ,64,NL ,,9.4,OW-W , ,1947,Quality Comics
Police Comics ,75,NL ,,9,OW , ,1948,Quality Comics
Police Comics ,76,NL ,,9.2,OW-W , ,1948,Quality Comics
Police Comics ,80,NL ,,8.5,W , ,1948,Quality Comics
Police Comics ,83,NL ,,9.6,OW-W , ,1948,Quality Comics
Police Comics ,88,NL ,,9.4,OW-W , ,1949,Quality Comics
Police Comics ,96,NL ,,9.4,OW-W , , ,Quality Comics
Police Line-Up ,3,NM+ ,,7.5,W , ,1952,Avon
Popular Comics ,44,NM+ ,,9,OW , ,1939,Dell
Popular Comics ,49,VG ,,4,OW , ,1940,Dell
Popular Comics ,52,NM+ ,,9.4,OW-W , ,1940,Dell
Popular Comics ,56,NM+ ,,9.6,OW , ,1940,Dell
Popular Comics ,57,NM+ ,,9.2,OW , ,1940,Dell
Popular Comics ,58,NM+ ,,9.6,OW-W , ,1940,Dell
Popular Comics ,59,NM+ ,,9.4,OW-W , ,1941,Dell
Popular Comics ,60,NM+ ,,9.4,OW , ,1941,Dell
Popular Comics ,61,NM+ ,,9.6,OW , ,1941,Dell
Popular Comics ,62,NM+ ,,9,OW , ,1941,Dell
Popular Comics ,63,NM+ ,,9.2,OW , ,1941,Dell
Popular Comics ,64,NM+ ,,8,OW , ,1941,Dell
Popular Comics ,65,NM+ ,,9.6,OW-W , ,1941,Dell
Popular Comics ,66,NM+ ,,9.4,OW , ,1941,Dell
Popular Comics ,67,NM+ ,,9,OW , ,1941,Dell
Popular Comics ,68,NM+ ,,8.5,OW-W , ,1941,Dell
Popular Comics ,69,NM+ ,,9.4,OW , ,1941,Dell
Popular Comics ,70,NM+ ,,9.6,OW , ,1941,Dell
Popular Comics ,71,NM+ ,,9.6,OW-W , ,1942,Dell
Popular Comics ,73,NM+ ,,9.4,W , ,1942,Dell
Popular Comics ,74,NM+ ,,9,OW , ,1942,Dell
